patch_id,activation_id,height_p,width_p,px_total_p,px_nodata_p,perc_nodata_p,px_burned_p,perc_burned_p,px_0_p,perc_0_p,px_10_p,perc_10_p,px_20_p,perc_20_p,px_30_p,perc_30_p,px_40_p,perc_40_p,px_50_p,perc_50_p,px_60_p,perc_60_p,px_70_p,perc_70_p,px_80_p,perc_80_p,px_90_p,perc_90_p,px_95_p,perc_95_p,px_100_p,perc_100_p,px_0_ba,perc_0_ba,px_10_ba,perc_10_ba,px_20_ba,perc_20_ba,px_30_ba,perc_30_ba,px_40_ba,perc_40_ba,px_50_ba,perc_50_ba,px_60_ba,perc_60_ba,px_70_ba,perc_70_ba,px_80_ba,perc_80_ba,px_90_ba,perc_90_ba,px_95_ba,perc_95_ba,px_100_ba,perc_100_ba,fishnet_id
EMSR180_10,EMSR180,512.0,512.0,262144.0,222159.0,84.74693298339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39985.0,15.253067016601562,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,857
EMSR180_100,EMSR180,512.0,512.0,262144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262144.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,858
EMSR180_1000,EMSR180,512.0,512.0,262144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262144.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,962
EMSR180_1001,EMSR180,512.0,512.0,262144.0,0.0,0.0,0.0,0.0,0.0,0.0,35864.0,13.6810302734375,113.0,0.0431060791015625,3185.0,1.2149810791015625,0.0,0.0,3079.0,1.1745452880859375,333.0,0.1270294189453125,0.0,0.0,219570.0,83.75930786132812,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,963
EMSR180_1002,EMSR180,512.0,512.0,262144.0,0.0,0.0,0.0,0.0,0.0,0.0,202801.0,77.36244201660156,16727.0,6.3808441162109375,20307.0,7.746505737304687,85.0,0.0324249267578125,14094.0,5.376434326171875,430.0,0.164031982421875,0.0,0.0,7579.0,2.8911590576171875,121.0,0.0461578369140625,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,963
EMSR180_1003,EMSR180,512.0,512.0,262144.0,0.0,0.0,0.0,0.0,0.0,0.0,235391.0,89.79454040527344,25900.0,9.88006591796875,0.0,0.0,0.0,0.0,853.0,0.3253936767578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,963
EMSR180_1004,EMSR180,512.0,512.0,262144.0,0.0,0.0,55598.0,21.208953857421875,0.0,0.0,201631.0,76.91612243652344,48198.0,18.38607788085937,12260.0,4.67681884765625,0.0,0.0,0.0,0.0,55.0,0.0209808349609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39780.0,71.54933630706141,8279.0,14.89082341091406,7484.0,13.460915860282745,0.0,0.0,0.0,0.0,55.0,0.0989244217417892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964
EMSR180_1005,EMSR180,512.0,512.0,262144.0,0.0,0.0,240454.0,91.72592163085938,0.0,0.0,99448.0,37.9364013671875,47204.0,18.00689697265625,115492.0,44.05670166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92166.0,38.32999243098472,45977.0,19.120912939689088,102311.0,42.54909462932619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964
EMSR180_1006,EMSR180,512.0,512.0,262144.0,0.0,0.0,247618.0,94.45877075195312,0.0,0.0,104142.0,39.72702026367188,82560.0,31.494140625,75442.0,28.778839111328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91746.0,37.05142598680225,82197.0,33.19508274842701,73675.0,29.753491264770737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964
EMSR180_1007,EMSR180,512.0,512.0,262144.0,0.0,0.0,235494.0,89.83383178710938,0.0,0.0,173772.0,66.28875732421875,42804.0,16.32843017578125,44604.0,17.01507568359375,0.0,0.0,964.0,0.36773681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151152.0,64.18507477897526,41294.0,17.53505397165108,42941.0,18.234434847596965,0.0,0.0,107.0,0.0454364017766907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965
